शीर्षक,प्रश्न_क्रमांक,लांब संख्या,नावे,मंत्रीपद,प्रश्न तारीख,प्रश्न,मंत्री नाव,उत्तर तारीख,उत्तर,सभागृह,दस्तऐवज_प्रकार,सत्र,वर्ष,संकेत स्थळ,नाव,तारीख,यादी_क्रमांक
कांदिवली (मंुबई) येथून भेसळयुक्त दुधसाठा जप्त केल्याबाबत,*(१,५६८५१,"['श्री.लहू कानडे (श्रीरामपूर)', 'श्री.अतुल भातखळकर (कांदिवली पूर्व)', 'श्री.अस्लम शेख (मालाड पश्चिम)', 'प्रा.वर्षा गायकवाड (धारावी)']",अन्न व औषध प्रशासन मंत्री,,"(१) कांदिवली (मंुबई) येथे अन्न आणि औषध प्रशासनाने दिनांक १० जानेवारी, २०२३ रोजी वा त्यासुमारास पाच ठिकाणी छापे टाकून १०६४ लिटर भेसळयुक्त दूधसाठा जप्त करून नष्ट केल्याचे निदर्शनास आले, हे खरे आहे काय, (२) असल्यास, याबाबत संबंधितांवर गुन्हा दाखल करण्यात आला आहे, हे खरे आहे काय, (३) असल्यास, याबाबत शासनाने दुध भेसळ रोखणे व दोषींवर कारवाई करण्यासंदर्भात कोणती कार्यवाही केली वा करण्यात येत आहे, (४) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. संजय राठोड,,"श्री. संजय राठोड : (१) व (२) खरे आहे. (३) सदर प्रकरणी पोलीस प्रशासनाने ०५ इसमांविरूध्द समतानगर पोलीस ठाणे, कांदिवली पूर्व येथे गुन्हा दाखल केला आहे. सदर गुन्ह्यात एकूण ०५ आरोपींना पोलिसांमार्फत अटक करण्यात आलेली आहे.सदर प्रकरणी अटक करण्यात आलेल्या व्यक्तींवर पोलीस प्रशासनामार्फत पुढील न्यायालयीन कार्यवाही घेण्यात येत आहे. दुधात भेसळ होऊ नये म्हणून अन्न व औषध प्रशासनामार्फत विविध ठिकाणी नियमित धाडी टाकून व दुधाचे अन्न नमुने विश्र्लेषणासाठी घेवून प्राप्त विश्र्लेषणाच्या अहवालाचे अनुषंगे कायदेशीर कार्यवाही संबंधितांवर घेण्यात येते. बृहन्मंुबई विभागामध्ये दुधाच्या पिशव्या टॅम्परिंग करून होणार्या भेसळीवर नियंत्रण ठेवण्यासाठी झोपडपट्टी मोहिम राबवून संबंधित व्यक्ती विरूध्द गुन्हे नेंदविले जातात. मंुबई शहरामध्ये येणारे दूध मानकाप्रमाणे आहे किंवा नाही हे तपासण्यासाठी “नाका मोहिम” राबविण्यात येते. सदर नाका मोहिमेत दुधाची चाचणी त्याच ठिकाणी करून दूध कमी दर्जाचे आढळल्यास त्याची कायदेशीररित्या विल्हेवाट केली जाते. धाडी जप्तीची कारवाई घेऊन दूध भेसळीवर नियंत्रण ठेवण्यात येते. (४) प्रश्र्न ‰¥Ìý´×¿× × नाही.",विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
अमरावती येथील सातुर्णा औद्योगिक वसाहतीचा भूखंड विक्री करताना झालेली अनियमितता,*(२,५७२५३,"['श्री.बळवंत वानखडे (दर्यापूर)', 'प्रा.वर्षा गायकवाड (धारावी)', 'श्री.अस्लम शेख (मालाड पश्चिम)', 'श्री.विजय वडेट्टीवार (ब्रम्हपूरी)', 'अॅड.यशोमती ठाकूर (सोनावणे) (तिवसा)', 'श्री.राजेश एकडे (मलकापूर)']",उद्योग मंत्री,,"(१) महाराष्ट्र शासनाने अमरावती शहरात उद्योगास वाव मिळावा म्हणून सातुर्णा येथे आद्योगिक वसाहत सहकारी संस्था स्थापन करून संस्थेला शहरातील सर्वे न. १२ आणि १३ असे मिळून २६ एकर १५ गंुठे एवढी जमीन दिली असून या २६ एकर जागेवर विविध आकाराचे १४७ प्लॉटस उद्योजकांना उद्योगासाठी देण्यात आले असून या औद्योगिक क्षेत्रात १४७ पैकी ६८ उद्योग सुरू असून यापैकी ३१ उद्योग बंद असून १ लाख ४० हजार चौरस फुट जागा शहरातील प्रदूषण टाळण्याच्या दृष्टीने वनीकरणास राखीव ठेवण्याच्या अटीवर संबंधीत संस्थेस लिजवर देण्यात आल्याचे माहे डिसेंबर, २०२२ च्या सुमारास निदर्शनास आले, हे खरे आहे काय, (२) असल्यास, औद्योगिक वसाहत सहकारी संस्था र.न. ८४१५/१९६१ सातुर्णा, जि.अमरावती या संस्थेच्या औद्योगिक प्रयोजनासाठी आरक्षित असलेल्या ५७ हजार ६५२ चौरस फुटाच्या जागेचे आरक्षण कोणतीही कायदेशीर प्रक्रिया पुर्ण न करता बदलून वाणिज्यिक वापरासाठी करण्यात आले, हे ही खरे आहे काय, (३) असल्यास, औद्योगिक सहकारी संस्थेत एकूण प्लॉटसपैकी १३ टक्के प्लॉट्स अनुसूचित जाती व जमातीसाठी राखीव असताना संस्थेने ते खुल्या प्रवर्गातील उद्योजकांना हस्तांतरित केल्यामुळे संस्थेतील आरक्षण संपुष्टात आले आहे, हे ही खरे आहे काय, (४) असल्यास, सदर जागेवर २ लाख चौ.फुट बांधकाम करण्यासाठी संस्थेने मागविलेल्या निविदेत केवळ एकाच बांधकाम व्यावसायिकाने दोन निविदा भरल्यामुळे कोणत्याही स्पर्धेविना त्याच व्यावसायिकाची निविदा मंजूर झाली, हे ही खरे आहे काय, (५) असल्यास, बाजारभावाप्रमाणे ६० कोटी मुल्य असलेल्या २ लाख चौ.फुट जागेच्या मोबदल्यात संस्थेला व्यावसायिक केवळ १२ कोटी रूपये मुल्याचे ८० हजार चौ.फुट बांधकाम सुपूर्द करणार असून उर्वरित १ लाख २० हजार चौ.फुट बांधकाम मालकीहक्काने विकण्यात येणार असून त्यात व्यावसायिकाला जवळजवळ २४० कोटी रूपयांचा फायदा होणार आहे, हे ही खरे आहे काय, (६) असल्यास, या प्रकरणाची शास़़नाने चौकशी करून दोषींवर कोणती कारवाई केली वा करण्यात येत आहे, (७) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. उदय सामंत,,"श्री. उदय सामंत : (१) होय, हे खरे आहे. जिल्हाधिकारी, अमरावती यांचे दिनांक ०९/०४/१९५८ च्या आदेशान्वये ई-क्लास जमीन औद्योगिक प्रयोजनार्थ हस्तांतरीत करण्यात आली. जिल्हाधिकारी, अमरावती यांनी दिनांक २०/११/१९८६ रोजी (१६ एकर ३८ गंुठे) सव्र्हे नं.१२ जागा औद्योगिक वसाहत सहकारी संस्था लि. अमरावती यांना लीजद्वारे ९० वर्षाकरीता हस्तांतरीत केली आहे. तसेच महाव्यवस्थापक, जिल्हा उद्योग केंद्र, अमरावती यांनी दिनांक १९/१०/१९८८ रोजी (९ एकर १८ गंुठे) सव्र्हे नं.१३ जागा सदर औद्योगिक वसाहतीत लीजद्वारे ९० वर्षाकरीता देण्यात आलेली आहे. सदर जागेवर विविध आकाराचे १४८ प्लॉट्स उद्योजकांना देण्यात आले असून सध्या ६८ उद्योग घटक सुरू असून त्यासाठी ९८ प्लॉटस वाटप करण्यात आलेले आहेत. तसेच ३१ उद्योग घटक बंद असून त्याकरीता ४४ प्लॉट्स वाटप करण्यात आले आहेत. या औद्योगिक वसाहतीमध्ये सदर संस्थेने १,१८,२३८ चौ.फु. जागा खुली जागा म्हणून राखीव ठेवलेली आहे व एकूण ८६,९४५ चौ.फु. जागेवर वृक्ष लागवड केलेली आहे. (२) सदर औद्योगिक संस्थेने सातुर्णा येथील सिट क्र.१६ भुखंड क्र.६९२ क्षेत्रफळ ५३५६.३२ चौ.मी. सत्ताप्रकार भोगवटदार वर्ग-२ चे भोगवटदार वर्ग-१ करून मिळणेबाबत मा.जिल्हाधिकारी यांचेकडे दिनांक ०९/०३/२०२२ ला अर्ज सादर केलेला आहे. त्या अनुषंगाने तहसिलदार, अमरावती यांनी दिनांक ०५/०४/२०२२ च्या आदेशानुसार सदर क्षेत्रफळ भोगवटदार वर्ग-१ झालेले आहे व तशी नेंद आखीव पत्रीका व सात-बारा मध्ये घेण्यात आली आहे. (३) सदर औद्योगिक वसाहत संस्थेत सन १९९५ ते २००० या कालावधीत १३ टक्के प्रमाणे १९ भुखंड अनुसूचित जाती /अनुसूचित जमाती प्रवर्गातील उद्योजकास वाटप केलेले होते. तद्नंतर त्यातील ८ उद्योजकांनी त्यांचे भुखंड इतर उद्योजकास हस्तांतरीत केले असल्याचे संस्थेने कळविलेले आहे. सद्यस्थितीत ५ भुखंड अनुसूचित जाती /अनुसूचित जमाती प्रवर्गातील उद्योजकांच्या ताब्यात आहेत. (४) तहसिलदार, अमरावती यांनी सदर जागेचा सत्ताप्रकार वर्ग-२ वरून वर्ग-१ केलेला आहे. सदर औद्योगिक संस्थेने सत्ताप्रकार वर्ग-१ असल्याने संस्थेचे पत्रानुसार सदर जागेवर व्यावसायिक कामाकरीता निविदा प्रक्रिया काढल्याचे कळविले आहे. या निविदा प्रक्रियेस आमसभेत मंजूरी घेण्यात आली, परंतु निवड केलेल्या विकासकास कोणतेही आदेश निर्गमित केलेले नाही. (५) सदर जागेचे विकासकास कामाचे आदेश निर्गमित करण्यात आलेले नाही. तसेच जागा हस्तांतरण किंवा विक्री करण्यात आलेली नाही. त्यामुळे विकासकास २४० कोटी रूपयांचा फायदा झाला असे म्हणता येणार नाही. (६) संबंधित विषयाबाबत तक्रार प्राप्त झाल्यामुळे औद्योगिक वसाहत सहकारी संस्थेला पत्र देऊन तक्रारीबाबत खुलासा मागविण्यात आलेला आहे व पुढील विकास बांधकाम कार्यवाहीस महाव्यवस्थापक, जिल्हा उद्योग केंद्र यांचेद्वारे तात्पुरती स्थगिती देण्यात आलेली आहे. संस्थेने सादर केलेल्या खुलाशानुसार सदर जागा विकासकास हस्तांतरीत किंवा विक्री केलेली नाही. त्याचप्रमाणे सदर जागेवर कोणत्याही प्रकारचे विकास कामे झालेली नाहीत. (७) प्रश्र्न ‰¥Ìý´×¿× × नाही.",विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
परभणी येथील बाल विद्यामंदिर हायस्कूल या शाळेतील एन.एम.एम.एस. शिष्यवृत्त्तीधारक विद्याथ्र्यांना अनुज्ञेय असणारी शिष्यवृत्तीची रक्कम मिळाली नसल्याबाबत,*(३,५७९८०,['डॉ.राहूल पाटील (परभणी)'],शालेय शिक्षण मंत्री,,"(१) राज्यातील आर्थिक दुर्बल घटकातील बुध्दीमान विद्याथ्र्यांना सर्वेत्त्तम शिक्षण मिळण्याच्या दृष्टीने आर्थिक सहाय्य करण्यासाठी एन.एम.एम.एस. शिष्यवृत्त्ती देण्यात येते, हे खरे आहे काय, (२) असल्यास, परभणी येथील बाल विद्यामंदिर हायस्कूल या शाळेतील एन.एम.एम.एस. शिष्यवृत्तीधारक विद्याथ्र्यांच्या बँक खात्यामध्ये त्यांना अनुज्ञेय असणारी रक्कम मागील ४ वर्षापासून जमा झालेली नाही, हे ही खरे आहे काय, (३) असल्यास, सदर शाळेच्या मुख्याध्यापकांनी थकीत शिष्यवृत्त्ती विद्याथ्र्यांच्या बँक खात्यात वर्ग करण्यात यावी अशी मागणी मा.शिक्षणाधिकारी (माध्य.) जिल्हा परिषद, परभणी यांच्याकडे माहे ऑक्टोबर, २०२२ मध्ये वा त्या दरम्यान केली आहे, हे ही खरे आहे काय, (४) असल्यास, विद्याथ्र्यांना थकीत शिष्यवृत्ती मिळण्याच्यादृष्टीने शासनाने कोणती कार्यवाही केली वा करण्यात येत आहे, (५) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. दिपक केसरकर,,"श्री. दिपक केसरकर : (१) व (२) होय, हे खरे आहे. सदर शिष्यवृत्ती ही केंद्रशासनाकडून देण्यात येते. (३) हे अंशत: खरे आहे (४) मुख्याध्यापकांनी केलेल्या अर्जाबाबत बाल विद्यामंदीर हायस्कुल, परभणी या शालेतील एकुण ३ विद्याथ्र्यांचे एनएसपी पोर्टलवरील ऑनलाईन अर्जांची पडताळणी करण्यात आली असून त्यांची शिष्यवृत्ती मिळण्याबाबत केंद्रशासनास पत्रव्यवहार करण्यात आला आहे. (५) प्रश्र्न ‰¥Ìý´×¿× × नाही",विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
"चेक बोरगाव (ता.गेंडपिपरी, जि.चंद्रपूर) येथील जिल्हा परिषद शाळेतील विद्याथ्र्यांना झालेली विषबाधा",*(४,६२१०६,"['श्री.विजय वडेट्टीवार (ब्रम्हपूरी)', 'श्री.सुनिल केदार (सावनेर)', 'श्री.अस्लम शेख (मालाड पश्चिम)', 'श्री.सुभाष धोटे (राजूरा)', 'श्री.नानाभाऊ पटोले (साकोली)', 'श्री.बाळासाहेब थोरात (संगमनेर)', 'प्रा.वर्षा गायकवाड (धारावी)', 'श्री.अमिन पटेल (मंुबादेवी)', 'श्री.झीशान सिद्दिकी (वांद्रे पूर्व)', 'श्री.राजेश एकडे (मलकापूर)', 'श्री.कुणाल पाटील (धुळे ग्रामीण)', 'श्री.हिरामण खोसकर (इगतपूरी)']",शालेय शिक्षण मंत्री,,"(१) गेंडपिंपरी (जि.चंद्रपूर) पंचायत समिती अंतर्गत येत असलेल्या चेक बोरगाव जिल्हा परिषद शाळेतील शिक्षकांनी पालकांना पूर्वसूचना न देता खराळपेठ येथील उत्तमराव पाटील वनउद्यानात दिलेल्या खाद्यांन्नामधून अनेक विद्याथ्र्यांना विषबाधा झाल्याचे माहे जानेवारी, २०२३ च्या शेवटच्या आठवडयात निदर्शनासआले, हे खरे आहे काय, (२) असल्यास, या विषबाधा प्रकरणी मा.पालकमंत्री यांनी चौकशीचे आदेश दिले आहेत, हे ही खरे आहे काय, (३) असल्यास, या प्रकरणी चौकशी करून दोषींवर कारवाई तसेच विषबाधित विद्याथ्र्यांना मदत देण्याबाबत कोणती कार्यवाही केली वा करण्यात येत आहे, (४) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. दिपक केसरकर,,श्री. दिपक केसरकर : (१) अंशत: खरे आहे. (२) हे खरे आहे. (३) प्राप्त वैद्यकीय अहवालानुसार १२ विद्याथ्र्यांच्या Dignosis या रकान्यामध्ये Acute Gastritis due to Chicken consumption चे निदान करण्यात आले आहे. सदर विद्याथ्र्यांना वैद्यकीय मदत उपलब्ध करून देण्यात आली आहे. (४) प्रश्र्न ‰¥Ìý´×¿× × नाही.,विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
दाताळा (जि.चंद्रपूर) एमआयडीसीतील एम.एम-५ या भुखंडाबाबत,*(५,६०८८०,"['श्री.सुभाष धोटे (राजूरा)', 'श्री.नानाभाऊ पटोले (साकोली)', 'श्री.अस्लम शेख (मालाड पश्चिम)']",उद्योग मंत्री,,"(१) चंद्रपूरच्या दाताळा एमआयडीसीतील ४८० भूखंडापैकी १८८ भूखंड अद्यापही रिकामे असतांना मूलभुत सुविधांसाठी राखीव असलेला प्लॉट नंबर एमएम-५ चे व्यावसायिक भूखंडात रूपांतर करून तो नागपूर येथील आर्या ऑटीव्हील या कंपनीला अत्यल्प दरात विकण्यात असल्याचे माहे जानेवारी, २०२३ मध्ये वा त्या दरम्यान निदर्शनास आले आहे, हे खरे आहे काय, (२) असल्यास, सदर प्रकल्प पडोली-घुग्गूस मार्गावर असून कोटयवधीचा भूखंड फक्त ४०० रूपये स्क्वेअर मीटर दराने विकून यात मोठया प्रमाणात गैरव्यवहार झाल्याचे निदर्शनास आले, हे ही खरे आहे काय, (३) असल्यास, या प्रकरणी चौकशी करून संबंधितांविरूदध कोणती कारवाई केली वा करण्यात येत आहे, (४) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. उदय सामंत,,श्री. उदय सामंत : (१) हे खरे नाही. चंद्रपूर औद्योगिक क्षेत्रातील भूखंड क्र. एएम-५ मधून ६००० चौ.मी. जागेच्या मागणी संदर्भात मऔवि महामंडळाच्या Minor Modification Committee (MMC) मंजूरीनुसार औद्योगिक भूखंडात रूंपातरीत करण्यात आले आहे. मऔवि महामंडळाच्या दि. ०६/०५/२०२२ रोजीच्या भूखंड वाटप समितीमध्ये घेतलेल्या निर्णयानुसार मे. आर्या ऑटोव्हील प्रा.लि. यांना दि. ०३/०६/२०२२ रोजी भूखंड क्र. ए-८ आराजी ५०२५ चौ.मी. चे वाटप मऔवि महामंडळाच्या प्रचलित दरानुसार औद्योगिक वापरासाठी करण्यात आले आहे. (२) हे खरे नाही. (३) व (४) प्रश्र्न ‰¥Ìý´×¿× × नाही.,विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
भंडारा जिल्हयात आधारभूत धान खरेदीला मुदतवाढ देण्याबाबत,*(६,६१५५१,['डॉ.भारती लव्हेकर (वर्सेवा)'],अन्न व नागरी पुरवठा आणि ग्राहक संरक्षण मंत्री,,"(१) भंडारा जिल्हयात आधारभूत किंमत खरेदीला शासनाने मुदतवाढ दिली नसल्यामुळे जिल्हयातील पणन महासंघाची धान खरेदी दिनांक १ फेब्रुवारी, २०२३ पासून बंद आहे, हे खरे आहे काय, (२) असल्यास, शेतकर्यांकडे सुमारे १५ लाख क्विंटल धान असून मुदतवाढ न मिळाल्यास शेतकर्यांना कमी किंमतीत व्यापार्यांना धान विकावे लागणार आहे, हे ही खरे आहे काय, (३) असल्यास, धान खरेदीची मुदत आणि उद्दिष्ट वाढविण्याचा प्रस्ताव शासनास पाठविण्यात येऊन त्यावर अद्यापपर्यंत कोणतीच कार्यवाही करण्यात न आल्याने ११ हजार ७४५ शेतकरी धान विक्रीपासून वंचित आहेत, हे ही खरे आहे काय, (४) असल्यास, उक्त प्रकरणी शासनाने चौकशी केली आहे काय, त्यानुसार धान खरेदीची मुदत आणि उद्दिष्ट वाढविण्याच्या प्रस्तावास मंजूरी देण्याबाबत कोणती कार्यवाही केली वा करण्यात येत आहे, (५) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. रविंद्र चव्हाण,,"श्री. रविंद्र चव्हाण : (१) हे खरे नाही. (२) हे खरे नाही. खरीप पणन हंगाम २०२२-२३ मध्ये धान खरेदीसाठी प्रथम दि.१९.१०.२०२२ ते दि.३१.०१.२०२३ असा कालावधी निश्चित करण्यात आला होता. तदनंतर तीन टप्प्यात दि.१५.०२.२०२३, दि.२८.०२.२०२३ व आता दि.०८.०३.२०२३ पर्यंत धान खरेदीस मुदतवाढ देण्यात आली आहे. (३) व (४) हे खरे नाही. खरीप पणन हंगाम २०२२-२३ मध्ये भंडारा जिल्ह्याकरीता धान खरेदीसाठी प्रथम ४१,८८,४६८ क्विंटल उद्दिष्ट निश्चित करण्यात आले होते. त्यामध्ये वाढ करून ४३,२०,००० क्विंटल उद्दिष्ट देण्यात आले आहे. तसेच भंडारा जिल्ह्यात खरीप पणन हंगाम २०२२-२३ मध्ये धान खरेदीसाठी १,२६,९८८ शेतकर्यांची नेंदणी झाली असून, दि.०२.०३.२०२३ पर्यंत १,१८,६६३ शेतकर्यांकडून ४२,३०,२९३.९२ क्विंटल धानाची खरेदी करण्यात आली असून अद्याप धान खरेदी सुरू आहे. (५) प्रश्र्न ‰¥Ìý´×¿× × नाही.",विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
सातपुडा (जि.नंदुरबार) येथील अतिदुर्गम भागातील विद्याथ्र्यांच्या शिक्षणाबाबत,*(७,५८१८०,"['श्री.विनोद निकोले (डहाणू)', 'श्री.अनिल पाटील (अमळनेर)', 'डॉ.भारती लव्हेकर (वर्सेवा)', 'अॅड.आशिष शेलार (वांद्रे पश्चिम)', 'श्री.अमित साटम (अंधेरी पश्चिम)', 'श्री.नितेश राणे (कणकवली)', 'अॅड.पराग अळवणी (विलेपार्ले)', 'श्रीमती मनिषा चौधरी (दहिसर)', 'कॅप्टन आर. सेल्वन (सायन-कोळीवाडा)', 'श्री.सुभाष देशमुख (सोलापूर दक्षिण)', 'श्री.संजय केळकर (ठाणे)', 'श्री.किसन कथोरे (मुरबाड)', 'श्रीमती देवयानी फरांदे (नाशिक मध्य)', 'श्री.मिहीर कोटेचा (मुलंुड)', 'श्री.पराग शाह (घाटकोपर पूर्व)', 'श्रीमती माधुरी मिसाळ (पर्वती)', 'श्री.योगेश सागर (चारकोप)']",शालेय शिक्षण मंत्री,,"(१) सातपुड्यातील अतिदुर्गम भागातील (जि.नंदुरबार) विद्याथ्र्यांच्या शिक्षणासाठी राज्य शासनाने खास एकमेव सर्व सोयीयुक्त तोरणमाळ येथे आंतरराष्ट्रीय शाळा सुरू केली असल्याची बाब माहे जानेवारी, २०२३ मध्ये वा त्या दरम्यान निदर्शनास आली आहे हे खरे आहे काय, (२) असल्यास, या शाळेत गणित आणि विज्ञानाचे शिक्षक नसल्याने दहावीच्या मुलांनाही जिल्हा परिषद शाळेतील शिक्षक शिकवित असल्याने आदिवासी विद्याथ्र्यांच्या गुणवत्तेचा प्रश्र्न निर्माण झाला आहे, हे ही खरे आहे काय, (३) असल्यास, सहावी ते आठवीसाठी १४ पदवीधर शिक्षक, नववी ते दहावीसाठी ८ पदवीधर विषय शिक्षक आणि कला, क्रीडा, कार्यानुभव शिक्षक अशा २८ शिक्षकांची पदे रिक्त आहेत, हे ही खरे आहे काय, (४) असल्यास, तोरणमाळ आंतरराष्ट्रीय शाळेतील शिक्षकांची रिक्त पदे भरणे तसेच मूलभूत सोयी सुविधा विद्याथ्र्यांना उपलब्ध करून देण्यासाठी शासनाने कोणती कार्यवाही केली वा करण्यात येत आहे, (५) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. दिपक केसरकर,,"श्री. दिपक केसरकर : (१) होय, खरे आहे. (२ ) व (३) अंशत: खरे आहे (४) २१ शिक्षकांच्या नेमणुका बाह्य संस्थेमार्फत करणेबाबत सन २०२३-२४ या वर्षासाठी समग्र शिक्षा अंतर्गत केंद्र शासनास प्रस्तावित करण्यात येत आहे. विद्याथ्र्यांकरिता सर्व मुलभूत सोयी सुविधा उपलब्ध आहे, तसेच विद्यार्थी संख्ये निहाय भौतिक सुविधाकरिता आवर्ती व अनावर्ती निधी उपलब्ध करून दिला जात आहे. (५) प्रश्र्न ‰¥Ìý´×¿× × नाही",विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
मालेगांव (जि.नाशिक) शहरात अपघातांच्या प्रमाणात वाढ होत असल्याबाबत,*(८,५८९६१,['श्री.मुफती मोहम्मद इस्माईल अब्दुल खालिक (मालेगांव मध्य)'],सार्वजनिक बांधकाम (सार्वजनिक उपक्रम वगळून) मंत्री,,"(१) मंुबई-आग्रा महामार्गावरील मालेगांव (जि.नाशिक) शहरात अपघातांचे प्रमाण वाढत असून महामार्ग पोलिस केंद्राच्या मालेगाव हद्दीत अपघातांचे धोकादायक ब्लॅक स्पॉट असल्याचे माहे जानेवारी, २०२३ मध्ये वा त्यादरम्यान निदर्शनास आले आहे, हे खरे आहे काय, (२) असल्यास, सन २०२१ मध्ये ५४१ अपघात होऊन त्यात ३२१ व्यक्तींचा मृत्यू झाला असून सन २०२२ मध्ये ४८४ अपघात होऊन त्यात २८९ व्यक्तींचा मृत्यू झाला आहे, हे ही खरे आहे काय, (३) असल्यास, सदर धोकादायक ब्लॅक स्पॉटची शासनाने पाहणी करून याबाबत कोणत्या ठोस उपाययोजना केल्या वा करण्यात येत आहे, (४) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. रविंद्र चव्हाण,,"श्री. रविंद्र चव्हाण : (१) नाही. सदर महामार्ग भारतीय राष्ट्रीय राजमार्ग प्राधिकरण यांचे अखत्यारित आहे. (२) मंुबई आग्रा राष्ट्रीय महामार्गावर महामार्ग पोलीस केंद्र मालेगाव हद्दीत सन २०२१ मध्ये एकूण ४० अपघात झाले असून त्यात १८ व्यक्तींचा मृत्यू झाला आहे. तसेच सन २०२२ मध्ये एकूण २६ अपघात होऊन ८ व्यक्तींचा मृत्यू झाला आहे. (३) मंुबई-आग्रा महामार्गावरील मालेगांव (जि.नाशिक) येथे महामार्ग पोलिस केंद्राच्या मालेगाव हद्दीत ब्लॅक स्पॉट नसले तरी ज्या ठिकाणी अपघात होत आहेत त्या ठिकाणी दीर्घकालीन उपाययोजना म्हणून मालेगावच्या हद्दीत ३ उड्डाणपुलांना तात्विक मंजूरी मिळाली आहे. याव्यतिरिक्त आवश्यक सूचना फलक, गतिरोधक, अत्याधुनिक रूग्णवाहिका, रोड पेट्रोलिंग व्हेईकल आणि क्रेन इ. सुविधा पुरविण्यात आलेल्या आहेत. (४) प्रश्र्न ‰¥Ìý´×¿× × नाही.",विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
जळगाव जिल्ह्यातील “विद्या इंग्लिश स्कूल” या शाळेने विद्याथ्र्यांना शिक्षा केल्याबाबत,*(९,५७२७१,['श्री.समाधान अवताडे (पंढरपूर)'],शालेय शिक्षण मंत्री,,"(१) जळगाव जिल्ह्यातील “विद्या इंग्लिश” स्कूल येथील शाळेने फी भरली नाही म्हणून कडाक्याच्या थंडीत सुमारे ५० विद्याथ्र्यांना बाहेर बसवल्याचे माहे जानेवारी,२०२३ मध्ये वा त्यादरम्यान निदर्शनास आले हे खरे आहे काय, (२) असल्यास, सदर प्रकरणी पालकांनी विचारणा केली असता शाळा व्यवस्थापनाने धमकीवजा टाळाटाळीची उत्तरे दिल्याचेही निदर्शनास आले, हे ही खरे आहे काय, (३) असल्यास, सदर शाळा व्यवस्थापना विरूद्ध कारवाई होण्याच्यादृष्टीने शासनाने कोणती कार्यवाही केली वा करण्यात येत आहे, (४) नसल्यास, विलंबाची कारणे काय आहेत ?",श्री. दिपक केसरकर,,"श्री. दिपक केसरकर : (१), (२) व (३) विद्याथ्र्यांना थंडीत बसवल्याची व व्यवस्थापनाने भेटण्यास टाळाटाळ केल्याची तक्रार पालकांनी केली होती परंतू याबाबत चौकशीत अशी बाब निदर्शनास आलेली नाही. थकीत फि बाबतच्या शाळेने पालकांना शाळेत बोलावले होते परंतू ज्यांचे पालक आले नाहीत त्या विद्याथ्र्यांना मुख्याध्यापक कार्यालयात बोलावले होते, याबाबत शाळा व्यवस्थापनास समज देण्यात आली आहे तसेच फि वसुलीसाठी विद्याथ्र्यांना त्रास देणार नाही असे हमीपत्र शाळेने दिले आहे. (४) प्रश्र्न ‰¥Ìý´×¿× × नाही.",विधानसभा,तारांकित प्रश्न,अर्थसंकल्पीय,2023,http://mls.org.in/PDF2023/BUDGET/yadi/09-assembly.pdf,mahmls-1528.pdf,2023-03-09,
