pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMH100024,7,0,1990,LAHANE HARIBHAN VITHALRAO,,Maharashtra,PATHRI,GEN,SHS,,37437,M,1,1,FALSE,FALSE,42.83,14717,16.84,,,1,1
AEMH100147,7,0,1990,UTTAMRAO RATHOD,,Maharashtra,KANNAD,GEN,IND,,7454,M,5,1,FALSE,FALSE,7.02,6228,5.87,,,,1
AEMH100444,7,0,1990,TONDCHIRKET SHIVRAJ MALOJI,,Maharashtra,HER,SC,JD,,29706,M,1,1,FALSE,FALSE,38.68,5950,7.75,,,1,1
AEMH100506,7,0,1990,GORE ARVIND JANARDHAN,,Maharashtra,OSMANABAD,GEN,JD,,34470,M,2,1,FALSE,FALSE,31.62,27280,25.02,,,,1
AEMH100517,7,0,1990,JADHAV SURYABHAN NARAYANRAO,,Maharashtra,AUSA,GEN,SHS,,17102,M,2,1,FALSE,FALSE,18.54,879,0.95,,,,1
AEMH100568,7,0,1990,PATIL SIDRAMAPPA MALAKAPPA,,Maharashtra,SOUTH SOLAPUR,GEN,IND,,34782,M,2,1,FALSE,FALSE,38.22,28780,31.63,,,,1
AEMH100705,7,0,1990,PATIL JAGANNATH HEMRAJ,,Maharashtra,UDGIR,GEN,DDP,,511,M,12,1,FALSE,FALSE,0.49,319,0.3,,,,1
AEMH100931,6,0,1985,DHUMAL RAMDAS VISHWANATH,,Maharashtra,RAHURI,GEN,ICS,,23661,M,2,2,FALSE,FALSE,27.42,9610,11.14,,,,2
AEMH100931,7,0,1990,DHUMAL RAMDAS VISHWANATH,,Maharashtra,RAHURI,GEN,BJP,ICS,46674,M,2,2,TRUE,FALSE,44.41,45803,43.58,,,,2
AEMH100959,7,0,1990,BHANGARE ASHOK YASHWANT,,Maharashtra,NAGAR-AKOLA,ST,JD,,34539,M,2,1,FALSE,FALSE,34.35,30607,30.44,,,,1
AEMH100962,7,0,1990,WAYAL GOPINATH JANKU,,Maharashtra,NAGAR-AKOLA,ST,IND,,726,M,6,1,FALSE,FALSE,0.72,138,0.14,,,,1
