Party,Expanded_Party_Name
ABHS,AKHIL BHARATIYA SENA
AIMIM,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
BJP,BHARATIYA JANATA PARTY
BVA,BAHUJAN VIKAS AAGHADI
CPI,COMMUNIST PARTY OF INDIA
GGP,GONDVANA GANTANTRA PARTY
INC,INDIAN NATIONAL CONGRESS
IND,INDEPENDENTS
JD(S),JANATA DAL  (SECULAR)
JSS,JAN SURAJYA SHAKTI
LKSGM,LOKSANGRAM
MNS,MAHARASHTRA NAVNIRMAN SENA
NCP,NATIONALIST CONGRESS PARTY
PWPI,PEASANTS AND WORKERS PARTY OF INDIA
RPI,REPUBLIC PARTY OF INDIA
RSPS,RASHTRIYA SAMAJ PAKSHA
SHS,SHIV SENA
SP,SAMAJWADI PARTY
STBP,SWATANTRA BHARAT PAKSHA
SWP,SWABHIMANI PAKSHA
BBM,BHARIPA BAHUJAN MAHASANGH
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
RPI(A),REPUBLICAN PARTY OF INDIA (A)
MUL,INDIAN UNION MUSLIM LEAGUE
NVAS,NAG VIDARBHA ANDOLAN SAMITI
NVPP,NATIVE PEOPLE'S PARTY
SJP(M),SAMAJWADI JANATA PARTY (MAHARASHTRA)
FBL,ALL INDIA FORWARD BLOC
MVC,MAHARASHTRA VIKAS CONGRESS
ICS,INDIAN CONGRESS (SOCIALIST)
JD,JANATA DAL
PWP,PEASANT'S & WORKERS' PARTY
SSP,SANGHATA SOCIALIST PARTY
ICS(SCS),INDIAN CONGRESS (SOCIALIST-SARAT CHANDRA SINHA)
JNP(JP),JANATA PARTY (JP)
RPK,REPUBLICAN PARTY OF INDIA (KHOBRAGADE GROUP)
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
BJS,BHARATIYA JAN SANGH
BKD,BHARATIYA KRANTI DAL
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
PSP,PRAJA SOCIALIST PARTY
REP,REPUBLICAN
SOC,SOCIALIST
PHJSP,Prahar Janshakti Party
CPIM,Communist Party of India (Marxist)
KTSTP,Krantikari Shetkari Party
