1, [[Pravin Darekar]]
2, [[Ram Shinde]]
3, [[Uma Khapre]]
4, [[Shrikant Bharatiya]]
5, [[Prasad Lad]]
6, [[Ranjitsinh Mohite-Patil
7, [[Pravin Datke]]
8, [[Gopichand Padalkar]]
9, [[Ramesh Karad]]
10, [[Nilay Naik]]
11, [[Ram Patil Ratolikar]]
12, [[Ramesh Patil]]
13, [[Vijay Girkar]]
14, [[Ramraje Naik Nimbalkar]]
15, [[Eknath Khadse]]
16, [[Shashikant Shinde]]
17, [[Amol Mitkari]]
18, [[Babajani Durani]]
19, [[Bhai Jagtap]]
20, [[Rajesh Rathod]]
21, [[Wajahat Ather Mirza]]
22, [[Pradnya Rajeev Satav]]
23, [[Sachin Ahir]]
24, [[Aamshya Padavi]]
25, [[Uddhav Thackeray]]
26, [[Anil Parab]]
27, [[Neelam Gorhe]]
28, [[Manisha Kayande]]
29, [[Jayant Prabhakar Patil
30, [[Mahadev Jankar]]
"=== Elected from Local Authorities' constituencies (22) ===
Keys: 
{{legend2",#FF9933
1, Mumbai
2, Mumbai
3, Dhule-Nandurbar
4, Nagpur
5, Akola-Washim-Buldhana
6, Kolhapur
7,Chhatrapati Sambhajinagar-Jalna
8, Dharashiv-Latur-Beed
9, Amravati
10, Wardha-Chandrapur-Gadhchiroli
11,Nashik
12, Parbhani-Hingoli
13,Raigad-Ratnagiri-Sindhudurg
14, Jalgaon
15, Bhandara-Gondia
16,Pune
17, Sangli-Satara
18, Nanded
19,Yavatmal
20, Thane-Palghar
21, Ahmednagar
22, Solapur
1, Konkan
2, Chhatrapati sambhajinagar 
3, Nagpur
4, Pune
5, Amravati
6, Mumbai
7, Nashik
1, Amravati
2, Nashik
3, Nagpur
4, Chhatrapati sambhajinagar 
5, Pune
6, Mumbai
7, Konkan
